Adenovirus types 4 and 7|Adenovirus types 4 and 7|143|Barr Laboratories|BRR|Active|Active|2012/08/07|
BIOTHRAX|anthrax|24 |Emergent BioDefense Operations Lansing|MIP|Active|Active|2010/05/28|
MYCOBAX|BCG|19 |sanofi pasteur|PMC|Active|Active|2010/05/28|
TICE BCG|BCG|19 |Organon Teknika Corporation|OTC|Active|Active|2010/05/28|
DT(GENERIC)|DT (pediatric)|28 |sanofi pasteur|PMC|Active|Active|2010/05/28|
ACEL-IMUNE|DTaP|20 |Wyeth|WAL|Active|Inactive|2010/09/01|
CERTIVA|DTaP|20 |North American Vaccine Inc.|NAV|Inactive|Inactive|2010/09/01|
INFANRIX|DTaP|20 |GlaxoSmithKline|SKB|Active|Active|2010/05/28|
TRIPEDIA|DTaP|20 |sanofi pasteur|PMC|Active|Active|2010/05/28|
DAPTACEL|DTaP 5 pertussis antigens|106|sanofi pasteur|PMC|Active|Active|2010/05/28|
PEDIARIX|DTaP-Hep B-IPV|110|GlaxoSmithKline|SKB|Active|Active|2010/05/28|
TRIHIBIT|DTaP-Hib|50 |sanofi pasteur|PMC|Active|Active|2010/05/28|
PENTACEL|DTaP-Hib-IPV|120|sanofi pasteur|PMC|Active|Active|2010/05/28|
KINRIX|DTaP-IPV|130|GlaxoSmithKline|SKB|Active|Active|2010/05/28|
TETRAMUNE|DTP-Hib|22 |Wyeth|WAL|Active|Inactive|2010/09/01|
HAVRIX-ADULT|Hep A adult|52 |GlaxoSmithKline|SKB|Active|Active|2010/05/28|
VAQTA-ADULT|Hep A adult|52 |Merck & Co. Inc.|MSD|Active|Active|2010/05/28|
HAVRIX-PEDS|Hep A ped/adol 2 dose|83 |GlaxoSmithKline|SKB|Active|Active|2010/05/28|
VAQTA-PEDS|Hep A ped/adol 2 dose|83 |Merck & Co. Inc.|MSD|Active|Active|2010/05/28|
TWINRIX|Hep A-Hep B|104|GlaxoSmithKline|SKB|Active|Active|2010/05/28|
ENGERIX B-PEDS|Hep B adolescent or pediatric|08 |GlaxoSmithKline|SKB|Active|Active|2010/05/28|
RECOMBIVAX-PEDS|Hep B adolescent or pediatric|08 |Merck & Co. Inc.|MSD|Active|Active|2010/05/28|
ENGERIX-B-ADULT|Hep B adult|43 |GlaxoSmithKline|SKB|Active|Active|2010/05/28|
RECOMBIVAX-ADULT|Hep B adult|43 |Merck & Co. Inc.|MSD|Active|Active|2010/05/28|
RECOMBIVAX-DIALYSIS|Hep B dialysis|44 |Merck & Co. Inc.|MSD|Active|Active|2010/09/20|
HIBTITER|Hib (HbOC)|47 |Wyeth|WAL|Active|Inactive|2010/08/18|
PROHIBIT|Hib (PRP-D)|46 |sanofi pasteur|PMC|Active|Inactive|2010/09/01|
PEDVAXHIB|Hib (PRP-OMP)|49 |Merck & Co. Inc.|MSD|Active|Active|2010/05/28|
ACTHIB|Hib (PRP-T)|48 |sanofi pasteur|PMC|Active|Active|2010/05/28|
HIBERIX|Hib (PRP-T)|48 |GlaxoSmithKline|SKB|Active|Active|2010/05/28|
OMNIHIB|Hib (PRP-T)|48 |GlaxoSmithKline|SKB|Active|Inactive|2010/09/01|
COMVAX|Hib-Hep B|51 |Merck & Co. Inc.|MSD|Active|Active|2010/05/28|
CERVARIX|HPV bivalent|118|GlaxoSmithKline|SKB|Active|Active|2010/05/28|
GARDASIL|HPV quadrivalent|62 |Merck & Co. Inc.|MSD|Active|Active|2010/05/28|
